Gene PsiValue PsiValue
YAL001C 1.00000617497032 1.00000617497032
YAL002W 1.00000146137343 1.00000146137343
YAL003W 1.00000268050799 1.00000268050799
YAL007C 0.999992438228789 0.999992438228789
YAL008W 1.00000416318699 1.00000416318699
YAL009W 1.00000637173744 1.00000637173744
YAL010C 0.999995140550876 0.999995140550876
YAL011W 0.999995185429762 0.999995185429762
YAL012W 1.00000025096881 1.00000025096881
YAL013W 1.00000211577532 1.00000211577532
YAL014C 0.999997848539194 0.999997848539194
YAL015C 0.999997074464039 0.999997074464039
YAL016W 0.999999242459838 0.999999242459838
YAL017W 1.00000183978565 1.00000183978565
YAL019W 1.00000333869541 1.00000333869541
YAL020C 0.999997541481226 0.999997541481226
YAL021C 1.00000265222612 1.00000265222612
YAL022C 1.0000023088267 1.0000023088267
YAL023C 1.00000225515482 1.00000225515482
YAL024C 1.00000261357594 1.00000261357594
YAL025C 0.999993285368684 0.999993285368684
YAL026C 0.999999853934254 0.999999853934254
YAL027W 0.999998769396918 0.999998769396918
YAL028W 1.00000335200443 1.00000335200443
YAL029C 0.999993373728971 0.999993373728971
YAL031C 1.00000049897213 1.00000049897213
YAL032C 1.0000033208493 1.0000033208493
YAL033W 0.999994084097483 0.999994084097483
YAL034C 0.999996933309358 0.999996933309358
YAL034W-A 0.999992514897345 0.999992514897345
YAL035W 0.999998440058812 0.999998440058812
YAL036C 1.00000218507155 1.00000218507155
YAL037W 1.00000035891598 1.00000035891598
YAL038W 0.9999929666606 0.9999929666606
YAL039C 1.00000246449488 1.00000246449488
YAL040C 0.999992429901589 0.999992429901589
YAL041W 0.999997577265713 0.999997577265713
YAL042W 1.00000709470957 1.00000709470957
YAL043C 1.00000920464024 1.00000920464024
YAL044C 0.999995278770681 0.999995278770681
YAL047C 1.00000430958282 1.00000430958282
YAL048C 1.00000359808679 1.00000359808679
YAL049C 0.999995345763831 0.999995345763831
YAL051W 1.00000486108909 1.00000486108909
YAL053W 1.00000007357031 1.00000007357031
YAL055W 1.00000378991718 1.00000378991718
YAL056W 1.00000259444603 1.00000259444603
YAL058W 1.00000388201611 1.00000388201611
YAL059W 0.999995572569967 0.999995572569967
YAL060W 0.999998645532104 0.999998645532104
YAL061W 0.999998015922104 0.999998015922104
YAL062W 1.00001015890906 1.00001015890906
YAR002C-A 0.999997801542208 0.999997801542208
YAR002W 1.0000002464829 1.0000002464829
YAR003W 0.999996801434332 0.999996801434332
YAR007C 0.99999794689357 0.99999794689357
YAR008W 1.0000000517073 1.0000000517073
YAR014C 1.00000165940258 1.00000165940258
YAR015W 1.00000518888736 1.00000518888736
YAR018C 1.00000158583563 1.00000158583563
YAR019C 1.00000072558109 1.00000072558109
YAR023C 1.00000229069589 1.00000229069589
YAR027W 0.999996932457656 0.999996932457656
YAR028W 0.999997951349377 0.999997951349377
YAR031W 0.999998171050435 0.999998171050435
YAR042W 0.999996463837321 0.999996463837321
YBL004W 1.00000133052655 1.00000133052655
YBL005W 0.999999691917686 0.999999691917686
YBL006C 0.99999377487272 0.99999377487272
YBL007C 0.999994928428793 0.999994928428793
YBL008W 1.00000136764513 1.00000136764513
YBL009W 1.00000259827961 1.00000259827961
YBL010C 0.999998923314843 0.999998923314843
YBL011W 0.999999016070199 0.999999016070199
YBL014C 1.00000219322771 1.00000219322771
YBL015W 0.999999108366133 0.999999108366133
YBL016W 0.999999301026317 0.999999301026317
YBL017C 0.99999585739473 0.99999585739473
YBL019W 0.999997901032708 0.999997901032708
YBL020W 0.999998741741441 0.999998741741441
YBL022C 0.99999945789957 0.99999945789957
YBL023C 1.00000122588261 1.00000122588261
YBL024W 0.999997611749305 0.999997611749305
YBL027W 0.999996302520307 0.999996302520307
YBL029W 0.999999755546988 0.999999755546988
YBL030C 0.999996872278564 0.999996872278564
YBL031W 1.00000151068692 1.00000151068692
YBL032W 1.00000326801988 1.00000326801988
YBL033C 0.999999796032272 0.999999796032272
YBL034C 1.00000218493519 1.00000218493519
YBL035C 1.00000524777427 1.00000524777427
