Gene PsiValue PsiValue
YAL001C 0.0717199921607971 0.0717199921607971
YAL002W 0.0255878031253815 0.0255878031253815
YAL003W 51.8012268066406 51.8012268066406
YAL007C 1.11955623626709 1.11955623626709
YAL008W 0.438158798217773 0.438158798217773
YAL009W 0.0764598727226257 0.0764598727226257
YAL010C 0.0450853765010834 0.0450853765010834
YAL011W 0.0531892478466034 0.0531892478466034
YAL012W 7.44091949462891 7.44091949462891
YAL013W 0.213390445709229 0.213390445709229
YAL014C 0.231328821182251 0.231328821182251
YAL015C 0.0761621713638306 0.0761621713638306
YAL016W 0.938168525695801 0.938168525695801
YAL017W 0.0630403578281403 0.0630403578281403
YAL019W 0.15058422088623 0.15058422088623
YAL020C 0.109201657772064 0.109201657772064
YAL021C 0.0110126927495003 0.0110126927495003
YAL022C 0.20326886177063 0.20326886177063
YAL023C 1.22701988220215 1.22701988220215
YAL024C 0.0349052280187607 0.0349052280187607
YAL025C 1.06149530410767 1.06149530410767
YAL026C 0.169683885574341 0.169683885574341
YAL027W 0.0808702349662781 0.0808702349662781
YAL028W 0.0113819852471352 0.0113819852471352
YAL029C 0.0727164030075073 0.0727164030075073
YAL031C 0.0473691940307617 0.0473691940307617
YAL032C 0.0939182817935944 0.0939182817935944
YAL033W 0.308704972267151 0.308704972267151
YAL034C 0.00709587633609772 0.00709587633609772
YAL034W-A 0.118219554424286 0.118219554424286
YAL035W 2.70586204528809 2.70586204528809
YAL036C 1.39740104675293 1.39740104675293
YAL037W 0.0113539971411228 0.0113539971411228
YAL038W 87.5811767578125 87.5811767578125
YAL039C 0.301692342758179 0.301692342758179
YAL040C 0.0637509167194366 0.0637509167194366
YAL041W 0.0254967451095581 0.0254967451095581
YAL042W 0.880381774902344 0.880381774902344
YAL043C 0.0918525695800781 0.0918525695800781
YAL044C 5.64894943237305 5.64894943237305
YAL047C 0.0511679112911224 0.0511679112911224
YAL048C 0.0564328491687775 0.0564328491687775
YAL049C 0.438874673843384 0.438874673843384
YAL051W 0.0726634860038757 0.0726634860038757
YAL053W 0.150519347190857 0.150519347190857
YAL055W 0.0985500991344452 0.0985500991344452
YAL056W 0.0390117764472961 0.0390117764472961
YAL058W 0.0801605641841888 0.0801605641841888
YAL059W 0.829634189605713 0.829634189605713
YAL060W 0.470959329605103 0.470959329605103
YAL061W 0.0433720648288727 0.0433720648288727
YAL062W 0.0154108285903931 0.0154108285903931
YAR002C-A 1.92295017242432 1.92295017242432
YAR002W 0.458919811248779 0.458919811248779
YAR003W 0.0881262958049774 0.0881262958049774
YAR007C 0.334092783927917 0.334092783927917
YAR008W 0.0980960428714752 0.0980960428714752
YAR014C 0.203160285949707 0.203160285949707
YAR015W 2.44013366699219 2.44013366699219
YAR018C 0.0738526105880737 0.0738526105880737
YAR019C 0.00698517635464668 0.00698517635464668
YAR023C 0.275544261932373 0.275544261932373
YAR027W 0.355438685417175 0.355438685417175
YAR028W 0.211369156837463 0.211369156837463
YAR031W 0.0416025131940842 0.0416025131940842
YAR042W 0.0977577984333038 0.0977577984333038
YBL004W 0.172127032279968 0.172127032279968
YBL005W 0.0403780221939087 0.0403780221939087
YBL006C 0.68268518447876 0.68268518447876
YBL007C 0.865004634857178 0.865004634857178
YBL008W 0.0699125587940216 0.0699125587940216
YBL009W 0.104588854312897 0.104588854312897
YBL010C 0.131545352935791 0.131545352935791
YBL011W 0.131165707111359 0.131165707111359
YBL014C 0.0309486299753189 0.0309486299753189
YBL015W 0.133277690410614 0.133277690410614
YBL016W 0.0769085466861725 0.0769085466861725
YBL017C 0.179606068134308 0.179606068134308
YBL019W 0.0221016809344292 0.0221016809344292
YBL020W 0.113968575000763 0.113968575000763
YBL022C 0.516725301742554 0.516725301742554
YBL023C 0.206925749778748 0.206925749778748
YBL024W 1.16202507019043 1.16202507019043
YBL027W 10.45341796875 10.45341796875
YBL029W 0.0225421279668808 0.0225421279668808
YBL030C 4.5774959564209 4.5774959564209
YBL031W 0.0637810528278351 0.0637810528278351
YBL032W 1.11915464401245 1.11915464401245
YBL033C 0.31134729385376 0.31134729385376
YBL034C 0.063682234287262 0.063682234287262
