Gene,PhiValue,PhiValue
YAL001C,0.0962793021839378,0.0962793021839378
YAL002W,0.0340594468962997,0.0340594468962997
YAL003W,67.98467993427,67.98467993427
YAL007C,1.55858567333176,1.55858567333176
YAL008W,0.456786599787519,0.456786599787519
YAL009W,0.101870805822114,0.101870805822114
YAL010C,0.0581483111409403,0.0581483111409403
YAL011W,0.0699185821285593,0.0699185821285593
YAL012W,10.238648226307,10.238648226307
YAL013W,0.265493635634715,0.265493635634715
YAL014C,0.294699002369053,0.294699002369053
YAL015C,0.103427622912789,0.103427622912789
YAL016W,1.30211273542967,1.30211273542967
YAL017W,0.0848481638535912,0.0848481638535912
YAL019W,0.299305320374824,0.299305320374824
YAL020C,0.102075073056767,0.102075073056767
YAL021C,0.453049747101931,0.453049747101931
YAL022C,0.285182482968911,0.285182482968911
YAL023C,1.55937434571798,1.55937434571798
YAL024C,0.0448705712671491,0.0448705712671491
YAL025C,1.36522431917127,1.36522431917127
YAL026C,0.22489936739722,0.22489936739722
YAL027W,0.100105951409933,0.100105951409933
YAL028W,0.0155699657317275,0.0155699657317275
YAL029C,0.12740102634564,0.12740102634564
YAL031C,0.0646237640015362,0.0646237640015362
YAL032C,0.17166167773914,0.17166167773914
YAL033W,0.381266806133634,0.381266806133634
YAL034C,0.00836254272855963,0.00836254272855963
YAL034W-A,0.1100235633645,0.1100235633645
YAL035W,3.5104608747985,3.5104608747985
YAL036C,1.90420833310293,1.90420833310293
YAL037W,0.00636834842472136,0.00636834842472136
YAL038W,143.702870105478,143.702870105478
YAL039C,0.395928528285821,0.395928528285821
YAL040C,0.0839344022376341,0.0839344022376341
YAL041W,0.177104394876154,0.177104394876154
YAL042W,1.12415780220246,1.12415780220246
YAL043C,0.229908906928736,0.229908906928736
YAL044C,7.54928696228373,7.54928696228373
YAL047C,0.0652050656333984,0.0652050656333984
YAL048C,0.0684148048587589,0.0684148048587589
YAL049C,0.55656812932641,0.55656812932641
YAL051W,0.0965743724378505,0.0965743724378505
YAL053W,0.310074810375727,0.310074810375727
YAL055W,0.111685152445354,0.111685152445354
YAL056W,0.0548923156766005,0.0548923156766005
YAL058W,0.117729559853284,0.117729559853284
YAL059W,1.12182428225497,1.12182428225497
YAL060W,0.674961160920749,0.674961160920749
YAL061W,0.058321375109338,0.058321375109338
YAL062W,0.020246851652722,0.020246851652722
YAR002C-A,2.76160098960265,2.76160098960265
YAR002W,0.597186722469705,0.597186722469705
YAR003W,0.108954916490006,0.108954916490006
YAR007C,0.69625583405161,0.69625583405161
YAR008W,0.13899331092614,0.13899331092614
YAR014C,0.351394016288764,0.351394016288764
YAR015W,3.074710968733,3.074710968733
YAR018C,0.0996568931187102,0.0996568931187102
YAR019C,0.0326798016124474,0.0326798016124474
YAR023C,0.00795798722122799,0.00795798722122799
YAR027W,0.413057615891245,0.413057615891245
YAR028W,0.266902687517667,0.266902687517667
YAR031W,0.0522617648515481,0.0522617648515481
YAR042W,0.142736259534772,0.142736259534772
YBL004W,0.242240671819454,0.242240671819454
YBL005W,0.051250728411297,0.051250728411297
YBL006C,0.646087980743417,0.646087980743417
YBL007C,1.18392963499883,1.18392963499883
YBL008W,0.0906032297132049,0.0906032297132049
YBL009W,0.227157931134478,0.227157931134478
YBL010C,0.168796076164136,0.168796076164136
YBL011W,0.204386542607228,0.204386542607228
YBL014C,0.0427798122693212,0.0427798122693212
YBL015W,0.175898773273941,0.175898773273941
YBL016W,0.231906479403423,0.231906479403423
YBL017C,0.464648155161272,0.464648155161272
YBL019W,0.0316279246571215,0.0316279246571215
YBL020W,0.153625406817118,0.153625406817118
YBL022C,0.703326803821958,0.703326803821958
YBL023C,0.281077185172411,0.281077185172411
YBL024W,1.54344841064613,1.54344841064613
YBL027W,13.5207798734526,13.5207798734526
YBL029W,0.0308733263888132,0.0308733263888132
YBL030C,6.2605706774273,6.2605706774273
YBL031W,0.0875586179993483,0.0875586179993483
YBL032W,1.88438818434666,1.88438818434666
YBL033C,0.444441364998457,0.444441364998457
YBL034C,0.0885274264814087,0.0885274264814087
YBL035C,0.239890483044468,0.239890483044468
YBL036C,1.35099129394667,1.35099129394667
YBL037W,0.111936874158636,0.111936874158636
YBL038W,0.467238200362016,0.467238200362016
YBL039C,3.17079414978595,3.17079414978595
YBL040C,1.18866061706671,1.18866061706671
YBL041W,2.99688995843775,2.99688995843775
YBL042C,0.326663343861035,0.326663343861035
YBL045C,0.93952187745375,0.93952187745375
YBL046W,0.201133560378272,0.201133560378272
YBL047C,0.896495101026521,0.896495101026521
YBL050W,1.26518311837057,1.26518311837057
YBL051C,0.744535990665744,0.744535990665744
YBL052C,0.0281104158758673,0.0281104158758673
YBL054W,0.27252360199214,0.27252360199214
YBL055C,0.205463028135213,0.205463028135213
YBL056W,0.773081398964822,0.773081398964822
YBL057C,0.621700844184676,0.621700844184676
YBL058W,2.12115616098217,2.12115616098217
YBL059W,0.125925783258734,0.125925783258734
YBL060W,0.0654396766711408,0.0654396766711408
YBL061C,0.247283580051539,0.247283580051539
YBL063W,0.0490881468535816,0.0490881468535816
YBL064C,0.632461217126099,0.632461217126099
YBL067C,0.176432116922806,0.176432116922806
YBL068W,0.758726244675774,0.758726244675774
YBL069W,0.410461155169966,0.410461155169966
YBL074C,0.0872123875526494,0.0872123875526494
YBL075C,0.0191372534046961,0.0191372534046961
YBL076C,4.03412350520767,4.03412350520767
YBL079W,0.19238638592155,0.19238638592155
YBL080C,0.0372415968312417,0.0372415968312417
YBL081W,0.251005166239199,0.251005166239199
YBL082C,0.217049903858551,0.217049903858551
YBL084C,0.0548596697556678,0.0548596697556678
YBL085W,0.197302216690744,0.197302216690744
YBL086C,0.124545601832722,0.124545601832722
YBL088C,0.0091719391689895,0.0091719391689895
YBL089W,0.0956179264172622,0.0956179264172622
YBL090W,0.741391119193219,0.741391119193219
YBL091C,1.71215767343492,1.71215767343492
YBL091C-A,0.175451091281771,0.175451091281771
YBL093C,0.686116097574337,0.686116097574337
YBL095W,0.0825926978107257,0.0825926978107257
YBL097W,0.100474069072966,0.100474069072966
YBL098W,0.164525132696184,0.164525132696184
YBL099W,4.22648268769834,4.22648268769834
YBL101C,0.0991017245865873,0.0991017245865873
YBL102W,0.752292817659322,0.752292817659322
YBL103C,0.202887330300364,0.202887330300364
YBL104C,0.0803175616327824,0.0803175616327824
YBL105C,0.183755909797878,0.183755909797878
YBL106C,0.036746974907623,0.036746974907623
YBL107C,0.185780148810034,0.185780148810034
YBR001C,0.13434378142675,0.13434378142675
YBR002C,0.252505729217092,0.252505729217092
YBR003W,0.166322054040815,0.166322054040815
YBR004C,0.135390807939416,0.135390807939416
YBR005W,0.0851235153978496,0.0851235153978496
YBR006W,0.0860072988326572,0.0860072988326572
YBR007C,0.0840221905684586,0.0840221905684586
YBR008C,0.00161877664339545,0.00161877664339545
YBR011C,26.9633767153872,26.9633767153872
YBR014C,0.85338317905027,0.85338317905027
YBR015C,0.687821433395929,0.687821433395929
YBR017C,0.501702772219597,0.501702772219597
YBR020W,0.00184708737519261,0.00184708737519261
YBR021W,0.0520644381319457,0.0520644381319457
YBR022W,0.264962358093394,0.264962358093394
YBR023C,0.253246476705362,0.253246476705362
YBR024W,0.135185394715392,0.135185394715392
YBR025C,8.77270375395865,8.77270375395865
YBR026C,0.699704385382475,0.699704385382475
YBR028C,0.187734744265922,0.187734744265922
