Gene PsiValue PsiValue
YAL001C 0.967934522612208 0.967934522612208
YAL002W 0.967981532660808 0.967981532660808
YAL003W 0.967587737585786 0.967587737585786
YAL007C 0.967841636401793 0.967841636401793
YAL008W 0.968187019670292 0.968187019670292
YAL009W 0.968813631464968 0.968813631464968
YAL010C 0.968588892669801 0.968588892669801
YAL011W 0.968189322396389 0.968189322396389
YAL012W 0.967559633609826 0.967559633609826
YAL013W 0.967836953392234 0.967836953392234
YAL014C 0.968089318856416 0.968089318856416
YAL015C 0.968009169015381 0.968009169015381
YAL016W 0.967634002601023 0.967634002601023
YAL017W 0.967752212083462 0.967752212083462
YAL019W 0.967740326807394 0.967740326807394
YAL020C 0.968263558478942 0.968263558478942
YAL021C 0.967690582016716 0.967690582016716
YAL022C 0.967930336149779 0.967930336149779
YAL023C 0.9676516091491 0.9676516091491
YAL024C 0.968015308371909 0.968015308371909
YAL025C 0.967592689203799 0.967592689203799
YAL026C 0.967653279549282 0.967653279549282
YAL027W 0.968961360909242 0.968961360909242
YAL028W 0.970082896209253 0.970082896209253
YAL029C 0.967815834611802 0.967815834611802
YAL031C 0.968197980445304 0.968197980445304
YAL032C 0.968427202178003 0.968427202178003
YAL033W 0.968238327394528 0.968238327394528
YAL034C 0.971904785635801 0.971904785635801
YAL034W-A 0.968652247382872 0.968652247382872
YAL035W 0.967626111245151 0.967626111245151
YAL036C 0.967616452414546 0.967616452414546
YAL037W 0.976889991289458 0.976889991289458
YAL038W 0.967579458745223 0.967579458745223
YAL039C 0.96796959968302 0.96796959968302
YAL040C 0.968057584413114 0.968057584413114
YAL041W 0.967896426381591 0.967896426381591
YAL042W 0.967674212515311 0.967674212515311
YAL043C 0.967861409434208 0.967861409434208
YAL044C 0.967683180677158 0.967683180677158
YAL047C 0.967775986691187 0.967775986691187
YAL048C 0.968166175818386 0.968166175818386
YAL049C 0.967777620089386 0.967777620089386
YAL051W 0.967817360249162 0.967817360249162
YAL053W 0.967708392374754 0.967708392374754
YAL055W 0.969785288130188 0.969785288130188
YAL056W 0.968033597656628 0.968033597656628
YAL058W 0.967750165007054 0.967750165007054
YAL059W 0.967728660729997 0.967728660729997
YAL060W 0.967731377090504 0.967731377090504
YAL061W 0.968712629055643 0.968712629055643
YAL062W 0.969759124564043 0.969759124564043
YAR002C-A 0.967676070419953 0.967676070419953
YAR002W 0.967727496214546 0.967727496214546
YAR003W 0.968018220782014 0.968018220782014
YAR007C 0.967663630823375 0.967663630823375
YAR008W 0.968343506505062 0.968343506505062
YAR014C 0.967694652925255 0.967694652925255
YAR015W 0.967682030559639 0.967682030559639
YAR018C 0.96827112731766 0.96827112731766
YAR019C 0.968188511436646 0.968188511436646
YAR023C 0.981186052546943 0.981186052546943
YAR027W 0.968105284431321 0.968105284431321
YAR028W 0.968083296523433 0.968083296523433
YAR031W 0.969248767861438 0.969248767861438
YAR042W 0.967745025811219 0.967745025811219
YBL004W 0.967639712565949 0.967639712565949
YBL005W 0.967876668338287 0.967876668338287
YBL006C 0.967762859362256 0.967762859362256
YBL007C 0.967639713486763 0.967639713486763
YBL008W 0.967961474082941 0.967961474082941
YBL009W 0.967730232783891 0.967730232783891
YBL010C 0.968215743011689 0.968215743011689
YBL011W 0.967792609470735 0.967792609470735
YBL014C 0.968155579089042 0.968155579089042
YBL015W 0.967919173610126 0.967919173610126
YBL016W 0.967860513095709 0.967860513095709
YBL017C 0.967621069435812 0.967621069435812
YBL019W 0.968571172758302 0.968571172758302
YBL020W 0.967900199729179 0.967900199729179
YBL022C 0.967712929797125 0.967712929797125
YBL023C 0.967727189145647 0.967727189145647
YBL024W 0.967722823758656 0.967722823758656
YBL027W 0.967512226648359 0.967512226648359
YBL029W 0.969624202486043 0.969624202486043
YBL030C 0.967631525339987 0.967631525339987
YBL031W 0.968546562403764 0.968546562403764
YBL032W 0.967609809817555 0.967609809817555
YBL033C 0.967778843288276 0.967778843288276
YBL034C 0.967858572239425 0.967858572239425
YBL035C 0.967680085735038 0.967680085735038
YBL036C 0.967690092860291 0.967690092860291
YBL037W 0.967717207417467 0.967717207417467
YBL038W 0.967804143933175 0.967804143933175
YBL039C 0.967669235225638 0.967669235225638
YBL040C 0.967630460428588 0.967630460428588
YBL041W 0.967721000786676 0.967721000786676
YBL042C 0.967736160511649 0.967736160511649
YBL045C 0.967779457258704 0.967779457258704
YBL046W 0.968083334078619 0.968083334078619
YBL047C 0.967660666249012 0.967660666249012
YBL050W 0.967705406352771 0.967705406352771
YBL051C 0.967671606087401 0.967671606087401
YBL052C 0.968424827810006 0.968424827810006
YBL054W 0.96784218120806 0.96784218120806
YBL055C 0.96779284204116 0.96779284204116
YBL056W 0.967709224040724 0.967709224040724
YBL057C 0.968008649026864 0.968008649026864
YBL058W 0.967615406486428 0.967615406486428
YBL059W 0.968493430182734 0.968493430182734
YBL060W 0.968242610722756 0.968242610722756
YBL061C 0.967735446728971 0.967735446728971
YBL063W 0.967928652569418 0.967928652569418
YBL064C 0.967920549522059 0.967920549522059
YBL067C 0.967780888536474 0.967780888536474
YBL068W 0.967692588563821 0.967692588563821
YBL069W 0.967660925302722 0.967660925302722
YBL074C 0.968420955921455 0.968420955921455
YBL075C 0.968984923119886 0.968984923119886
YBL076C 0.96759196999372 0.96759196999372
YBL079W 0.967692196764443 0.967692196764443
YBL080C 0.968701549095429 0.968701549095429
YBL081W 0.967906110732895 0.967906110732895
YBL082C 0.967992433400298 0.967992433400298
YBL084C 0.968274997530578 0.968274997530578
YBL085W 0.967731120800686 0.967731120800686
YBL086C 0.968131695226901 0.968131695226901
YBL088C 0.96829431749085 0.96829431749085
YBL089W 0.968333793558462 0.968333793558462
YBL090W 0.967793744130172 0.967793744130172
YBL091C 0.967600717079591 0.967600717079591
YBL091C-A 0.968808212041605 0.968808212041605
YBL093C 0.968056155340933 0.968056155340933
YBL095W 0.968777171229901 0.968777171229901
YBL097W 0.968013545262394 0.968013545262394
YBL098W 0.967779471247711 0.967779471247711
YBL099W 0.967608150390141 0.967608150390141
YBL101C 0.967929636970957 0.967929636970957
YBL102W 0.967880741818697 0.967880741818697
YBL103C 0.967800639995327 0.967800639995327
YBL104C 0.967871156517003 0.967871156517003
YBL105C 0.967891179090388 0.967891179090388
YBL106C 0.968039903561722 0.968039903561722
YBL107C 0.968577506447773 0.968577506447773
YBR001C 0.967700458442771 0.967700458442771
YBR002C 0.968385492079306 0.968385492079306
YBR003W 0.96823288662218 0.96823288662218
YBR004C 0.968245356568112 0.968245356568112
YBR005W 0.968865930837267 0.968865930837267
YBR006W 0.968624488670043 0.968624488670043
YBR007C 0.968044010304408 0.968044010304408
YBR008C 0.982087330078866 0.982087330078866
YBR011C 0.967621905879365 0.967621905879365
YBR014C 0.967830384387141 0.967830384387141
YBR015C 0.967635412042368 0.967635412042368
YBR017C 0.967679573080384 0.967679573080384
YBR018C 0.986717919514366 0.986717919514366
YBR020W 0.978828494213252 0.978828494213252
YBR021W 0.968418407808042 0.968418407808042
YBR022W 0.968712751340409 0.968712751340409
YBR023C 0.967791382930858 0.967791382930858
YBR024W 0.967921670209513 0.967921670209513
YBR025C 0.967623058580037 0.967623058580037
YBR026C 0.967778537882635 0.967778537882635
YBR028C 0.967765580666953 0.967765580666953
YBR029C 0.967821098341089 0.967821098341089
YBR030W 0.968131637923723 0.968131637923723
YBR034C 0.967705033600398 0.967705033600398
YBR035C 0.967698872447896 0.967698872447896
YBR036C 0.967710021649038 0.967710021649038
YBR037C 0.968094688184688 0.968094688184688
YBR038W 0.967640318940424 0.967640318940424
YBR039W 0.967645631802681 0.967645631802681
YBR041W 0.967783697871955 0.967783697871955
YBR042C 0.967733257712413 0.967733257712413
YBR043C 0.968495137104772 0.968495137104772
YBR044C 0.968508512097665 0.968508512097665
YBR046C 0.967713245314169 0.967713245314169
YBR047W 0.969571637665431 0.969571637665431
YBR048W 0.967582489364865 0.967582489364865
YBR049C 0.967716359295037 0.967716359295037
YBR052C 0.967598540969291 0.967598540969291
YBR053C 0.967827886213932 0.967827886213932
YBR054W 0.968157303338606 0.968157303338606
YBR055C 0.967816841410546 0.967816841410546
YBR056W 0.967819927732883 0.967819927732883
YBR057C 0.967847434107535 0.967847434107535
YBR058C 0.967739011904807 0.967739011904807
YBR059C 0.967743528071211 0.967743528071211
YBR060C 0.967674190738592 0.967674190738592
YBR061C 0.967990398750233 0.967990398750233
YBR062C 0.968352189344492 0.968352189344492
YBR063C 0.974748207745037 0.974748207745037
YBR065C 0.96815385914133 0.96815385914133
YBR066C 0.96825821238981 0.96825821238981
YBR067C 0.967670442127327 0.967670442127327
YBR068C 0.967654842051696 0.967654842051696
YBR069C 0.967635807642916 0.967635807642916
YBR070C 0.9683500808095 0.9683500808095
YBR071W 0.968123920982479 0.968123920982479
YBR072W 0.968132570474993 0.968132570474993
YBR073W 0.967712323372728 0.967712323372728
YBR074W 0.967777557746506 0.967777557746506
YBR077C 0.968030402348504 0.968030402348504
YBR078W 0.967585551719387 0.967585551719387
YBR079C 0.967570056263705 0.967570056263705
YBR080C 0.967636429992678 0.967636429992678
YBR081C 0.967767670271335 0.967767670271335
YBR083W 0.967718691225317 0.967718691225317
YBR084C-A 0.967558977475857 0.967558977475857
YBR084W 0.967582145503789 0.967582145503789
YBR085W 0.967920366189435 0.967920366189435
YBR086C 0.967662761474794 0.967662761474794
YBR087W 0.967891963986202 0.967891963986202
YBR088C 0.96775483204041 0.96775483204041
YBR092C 0.96772136803135 0.96772136803135
YBR093C 0.968125781229667 0.968125781229667
YBR094W 0.967774095917367 0.967774095917367
YBR095C 0.968023950894039 0.968023950894039
YBR096W 0.9676155498903 0.9676155498903
YBR097W 0.968002908499992 0.968002908499992
YBR098W 0.968544155628973 0.968544155628973
YBR101C 0.967743096481789 0.967743096481789
YBR102C 0.967864059598471 0.967864059598471
YBR103W 0.967850830944681 0.967850830944681
YBR104W 0.967608184145263 0.967608184145263
YBR105C 0.967873360893092 0.967873360893092
YBR106W 0.96765359392473 0.96765359392473
YBR107C 0.970730494068228 0.970730494068228
YBR108W 0.967879816360555 0.967879816360555
YBR110W 0.967719814152288 0.967719814152288
YBR111C 0.967723868593693 0.967723868593693
YBR112C 0.967721437989723 0.967721437989723
YBR114W 0.968033751690795 0.968033751690795
YBR115C 0.967655262424952 0.967655262424952
YBR119W 0.967980727262603 0.967980727262603
YBR120C 0.968311353343384 0.968311353343384
YBR121C 0.967578872307468 0.967578872307468
YBR122C 0.967880676287854 0.967880676287854
YBR123C 0.967565233290592 0.967565233290592
YBR125C 0.96802640235409 0.96802640235409
